Course,Date,Number
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0.18
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.1
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0.2
AGILITY,2018-03-26,0.06
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.45
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.98
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.37
AGILITY,2018-03-26,0
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.98
AGILITY,2018-03-26,0.73
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.45
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.2
AGILITY,2018-03-26,0.94
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.98
AGILITY,2018-03-26,0.41
AGILITY,2018-03-26,0.1
AGILITY,2018-03-26,0.22
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.65
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.86
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.04
AGILITY,2018-03-26,0.43
AGILITY,2018-03-26,0
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.02
AGILITY,2018-03-26,0.02
AGILITY,2018-03-26,1
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.96
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0
AGILITY,2018-03-26,0.98
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
BLOCKCHAIN,2018-03-05,0
